Nom,Latitude,Longitude
Sabines,43.5834847,3.8607516
Occitanie,43.6342524,3.849135
Euromédecine,43.639124,3.8282138
Plan Cabanes,43.60835,3.868638
Louis Blanc,43.614645,3.8776294
Vélomagg',43.5955536,3.8845331
Halles Castellane,43.6099648,3.8772158
Renouvier,43.60358,3.8678865
Aiguelongue,43.6261759,3.8824975
Emile Combes,43.6167422,3.8799722
Albert 1er,43.6161695,3.8743979
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294
Du Guesclin,43.6059524,3.8824027
Observatoire,43.6060972,3.8769443
Foch,43.6109947,3.8733344
Corum,43.6140308,3.8816248
Boutonnet,43.6226054,3.8683868
Fac des Sciences,43.6312537,3.8612405
Gambetta,43.6070906,3.8707375
Odysseum,43.6035563,3.9154082
Port Marianne,43.6013153,3.8994131
Celleneuve,43.614725,3.8326395
Charles Flahault,43.6187686,3.8659891
Cité Mion,43.6011431,3.8844511
Jeu de Mail des Abbés,43.6198762,3.8840259
Les Aubes,43.618664,3.8937952
Nouveau Saint-Roch,43.5998216,3.8757614
Place Viala,43.6168167,3.8550842
Richter,43.6037969,3.8989223
Saint-Martin,43.5923646,3.8852064
Cyclable,43.5976275,3.8995439
Marie Caizergues,43.6198729,3.8737886
Comédie,43.6081492,3.8787624
Clemenceau,43.603494,3.872227
Antigone Centre,43.6079184,3.8905276
Esplanade,43.6095882,3.8811981
Garcia Lorca,43.5907675,3.8906103
Hôtel de Ville,43.5990932,3.894867
Jardin de la Lironde,43.6058517,3.9115715
Médiathèque Émile Zola,43.6082468,3.8930561
Nombre d'Or,43.6079002,3.8866534
Odysseum,43.6039319,3.918888
Port Marianne,43.6003794,3.8984647
Providence - Ovalie,43.5882994,3.8534561
Prés d'Arènes,43.5904786,3.8846503
Rondelet,43.6030505,3.8757891
Sabines,43.5842231,3.8600317
Saint-Denis,43.6050394,3.8750227
Tonnelles,43.6151527,3.8394759
Voltaire,43.603749,3.8885119
Hôtel du Département,43.6216609,3.8347447
Malbosc,43.6336754,3.8328766
Beaux-Arts,43.6167043,3.8849862
Père Soulas,43.6219699,3.855618
Deux Ponts Gare Saint-Roch,43.604359,3.8810025
Saint-Guilhem – Courreau,43.6089424,3.8727765
Les Vélopolitains,43.6056579,3.8853274
