nom,latitude,longitude
Providence-Ovalie,43.5882994,3.8534561
Pérols,45.5848694,1.9776718
Euromédecine,43.63892695,3.8277208999999957
Malbosc,43.6345221,3.8332590500000054
Hôtel du Département,43.6220087,3.8351279
Celleneuve,43.6137045,3.8245262
Tonnelles,43.6134871,3.8397933
Occitanie,43.6343466,3.8486780499999984
Fac des Sciences,43.6312537,3.8612405
Boutonnet,43.6198269,3.8681402
Charles Flahault,43.6184031,3.8663896
Place Viala,43.6168167,3.8550842
Père Soulas,43.6184151,3.8637124
Aiguelongue,43.6331438,3.8795261
Marie Caizergues,43.6212064,3.8753901
Jeu de Mail des Abbés,43.6197908,3.8839408
Les Aubes,43.6192157,3.8913335
Louis Blanc,43.6147901,3.878049913143094
Emile Combes,43.6167422,3.8799722
Corum,43.61423885,3.881691174186992
Beaux-Arts,43.6167043,3.8849862
Les Arceaux,43.6118401,3.8623604
Foch,43.6109947,3.8733344
Plan Cabanes,43.608824,3.8677876
Gambetta,43.6040006,3.8713632
Renouvier,43.60358,3.8678865
Clémenceau,43.6037498,3.8726199
Halles Castellane,43.61012445,3.876843401959306
Esplanade,43.69762525,4.03065366297958
Comédie,43.60918635,3.8815040936105776
Observatoire,43.61452665,3.871080728556718
Rue Jules Ferry,43.6054311,3.8811422
Saint-Denis,43.6055891,3.8739545
Parvis Jules Ferry,,
Nouveau Saint-Roch,43.5992903,3.8756446
Cité Mion,43.6013494,3.8847633
Voltaire,43.6037049,3.8892253
Nombre d'Or,43.6079002,3.8866534
Antigone Centre,43.6079184,3.8905276
Médiathèque Emile Zola,43.6082468,3.8930561
Hôtel de Ville,43.5985194,3.8966318917219365
Port Marianne,43.6059165,3.9168169
Richter,43.6037969,3.8989223
Jardin de la Lironde,43.6058517,3.9115715
Odysseum,43.60441055,3.9212018171142855
Garcia Lorca,43.58775425,3.8871086412808067
Près d'Arènes,43.5936317,3.8877518
Sabines,43.5839312,3.8601292
Rondelet,43.6030965,3.8763131
Place Albert 1er - St-Charles,43.6165623,3.874061
Montpellier Sud de France,43.595115,3.9239637
Deux Ponts - Gare Saint-Roch,43.604359,3.8810025
Albert 1er - Cathedrale,43.6148246,3.873733
Pont de Lattes - Gare St-Roch,,
Saint-Guilhem - Courreau,43.6081284,3.8735437
